# time, x_vel, y_vel, z_vel, x_pos_tr, y_pos_tr, z_pos_tr, throttle, steering angle
1.455425050109624863e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, -6.999999237060546875e+01
1.505425050854682922e+00, -8.841531816869974136e-04, -2.093349030474200845e-04, -1.617064885795116425e-02, 7.629394531250000000e-06, 4.596635699272155762e-05, -7.307434570975601673e-04, 1.000000000000000000e+00, 6.999999237060546875e+01
1.555425051599740982e+00, -7.875951123423874378e-04, -2.796533226501196623e-04, -1.497871614992618561e-02, 2.098083496093750000e-05, 1.295851543545722961e-04, -1.358604466076940298e-03, 1.000000000000000000e+00, -1.027902252698368102e+01
1.605425052344799042e+00, -1.133557758294045925e-03, -3.423362795729190111e-04, -1.312214508652687073e-02, 1.907348632812500000e-05, 2.254862338304519653e-04, -1.880112045910209417e-03, 1.000000000000000000e+00, -1.027709908530641769e+01
1.655425053089857101e+00, -7.258811965584754944e-04, -2.957296383101493120e-04, -1.108883135020732880e-02, 2.479553222656250000e-05, 3.211591392755508423e-04, -2.302818640600889921e-03, 1.000000000000000000e+00, -1.027892760659722171e+01
1.705425053834915161e+00, -4.519045760389417410e-04, -2.648675290402024984e-04, -9.132836945354938507e-03, 4.196166992187500000e-05, 4.091635346412658691e-04, -2.639808866661041975e-03, 1.000000000000000000e+00, -1.027914039515587774e+01
1.755425054579973221e+00, -3.632702282629907131e-04, -2.280848420923575759e-04, -7.377958856523036957e-03, 5.531311035156250000e-05, 4.859156906604766846e-04, -2.904625085648149252e-03, 1.000000000000000000e+00, -1.027895681286997842e+01
1.805425055325031281e+00, -2.954942174255847931e-04, -1.900408242363482714e-04, -5.874646361917257309e-03, 6.866455078125000000e-05, 5.507655441761016846e-04, -3.110885794740170240e-03, 1.000000000000000000e+00, -1.027918316148384292e+01
1.855425056070089340e+00, -2.424951235298067331e-04, -1.545483246445655823e-04, -4.621822386980056763e-03, 7.820129394531250000e-05, 6.040949374437332153e-04, -3.270035085733979940e-03, 1.000000000000000000e+00, -1.027900583768496290e+01
1.905425056815147400e+00, -1.592497428646311164e-04, -4.655915108742192388e-05, -1.522706821560859680e-03, 8.201599121093750000e-05, 6.136316806077957153e-04, -3.298988973256200552e-03, 1.000000000000000000e+00, -1.027919150613320198e+01
1.955425057560205460e+00, -1.805461943149566650e-04, -6.535732973134145141e-05, -2.030777977779507637e-03, 8.583068847656250000e-05, 6.344215944409370422e-04, -3.358498157467693090e-03, 1.000000000000000000e+00, -1.028021163951734707e+01
2.005425058305263519e+00, -1.626747252885252237e-04, -7.083093805704265833e-05, -2.119130687788128853e-03, 9.155273437500000000e-05, 6.579207256436347961e-04, -3.423691203352063894e-03, 1.000000000000000000e+00, -1.027810774479769407e+01
2.055425059050321579e+00, -1.360454480163753033e-04, -6.833491352153941989e-05, -1.985886599868535995e-03, 9.727478027343750000e-05, 6.810370832681655884e-04, -3.486099594738334417e-03, 1.000000000000000000e+00, -1.027920402310724057e+01
2.105425059795379639e+00, -1.110641096602194011e-04, -6.155959272291511297e-05, -1.751950941979885101e-03, 9.918212890625000000e-05, 7.020179182291030884e-04, -3.541489073541015387e-03, 1.000000000000000000e+00, -1.027884416010363111e+01
2.155425060540437698e+00, -9.009780478663742542e-05, -5.304267688188701868e-05, -1.488475594669580460e-03, 1.049041748046875000e-04, 7.203286513686180115e-04, -3.588944149669259787e-03, 1.000000000000000000e+00, -1.027929581425019023e+01
2.205425061285495758e+00, -7.375251152552664280e-05, -4.423929567565210164e-05, -1.231369678862392902e-03, 1.068115234375000000e-04, 7.357783615589141846e-04, -3.628235252108424902e-03, 1.000000000000000000e+00, -1.027895889903231819e+01
2.255425062030553818e+00, -6.052958269719965756e-05, -3.598775947466492653e-05, -9.963090997189283371e-04, 1.087188720703125000e-04, 7.484816014766693115e-04, -3.660126065369695425e-03, 1.000000000000000000e+00, -1.027900270844145325e+01
2.305425062775611877e+00, -2.980611679959110916e-05, -8.037107363634277135e-06, -2.489247126504778862e-04, 1.106262207031250000e-04, 7.528681308031082153e-04, -3.671722894068807364e-03, 1.000000000000000000e+00, -1.027915395521108621e+01
2.355425063520669937e+00, -4.202732816338539124e-05, -1.290231466555269435e-05, -4.022309149149805307e-04, 1.106262207031250000e-04, 7.570264860987663269e-04, -3.682861977722495794e-03, 1.000000000000000000e+00, -1.027896098519465795e+01
2.405425064265727997e+00, -3.974602077505551279e-05, -1.487840745539870113e-05, -4.448340041562914848e-04, 1.087188720703125000e-04, 7.620230317115783691e-04, -3.696137049701064825e-03, 1.000000000000000000e+00, -1.027872629193143439e+01
2.455425065010786057e+00, -3.467483475105836987e-05, -1.475726821809075773e-05, -4.302070592530071735e-04, 1.106262207031250000e-04, 7.670968770980834961e-04, -3.709297569002956152e-03, 1.000000000000000000e+00, -1.027911327504546080e+01
2.505425065755844116e+00, -3.697076863318216056e-06, -1.503546900494256988e-05, -3.863262536469846964e-04, 1.125335693359375000e-04, 7.717125117778778076e-04, -3.721313958521932364e-03, 1.000000000000000000e+00, -1.027913413666885845e+01
2.555425066500902176e+00, -3.137033218081342056e-06, -1.304509532928932458e-05, -3.327196463942527771e-04, 1.163482666015625000e-04, 7.758708670735359192e-04, -3.731689823325723410e-03, 1.000000000000000000e+00, -1.027936882993208201e+01
2.605425067245960236e+00, -2.544114295233157463e-06, -1.098264783649938181e-05, -2.776064793579280376e-04, 1.163482666015625000e-04, 7.793800905346870422e-04, -3.740349260624498129e-03, 1.000000000000000000e+00, -1.028019807946213859e+01
2.655425067991018295e+00, -2.120432782248826697e-06, -8.983387488115113229e-06, -2.287864772370085120e-04, 1.182556152343750000e-04, 7.822411134839057922e-04, -3.747406357433646917e-03, 1.000000000000000000e+00, -1.027934588214634459e+01
2.705425068736076355e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.182556152343750000e-04, 7.822411134839057922e-04, -3.747406357433646917e-03, 1.000000000000000000e+00, -1.027920506618841046e+01
2.755425069481134415e+00, -1.180721255877870135e-06, -2.946082986454712227e-06, -7.723474118392914534e-05, 1.201629638671875000e-04, 7.845684885978698730e-04, -3.753433877136558294e-03, 1.000000000000000000e+00, -1.027937300225676154e+01
2.805425070226192474e+00, -1.076953367373789661e-06, -3.582911631383467466e-06, -9.321566176367923617e-05, 1.201629638671875000e-04, 7.855221629142761230e-04, -3.756103978957980871e-03, 1.000000000000000000e+00, -1.027920610926958034e+01
2.855425070971250534e+00, -1.058787120200577192e-06, -3.648943220468936488e-06, -9.390219202032312751e-05, 1.220703125000000000e-04, 7.865903899073600769e-04, -3.758888633456081152e-03, 1.000000000000000000e+00, -1.027941263934121707e+01
2.905425071716308594e+00, -8.995301072900474537e-07, -3.377087523404043168e-06, -8.568289194954559207e-05, 1.220703125000000000e-04, 7.876204326748847961e-04, -3.761559200938791037e-03, 1.000000000000000000e+00, -1.027922488473063822e+01
2.955425072461366653e+00, -7.411775300170120317e-07, -2.973054961330490187e-06, -7.448862015735358000e-05, 1.220703125000000000e-04, 7.885741069912910461e-04, -3.763847926165908575e-03, 1.000000000000000000e+00, -1.027922384164946834e+01
3.005425073206424713e+00, -5.938559297646861523e-07, -2.513205572540755384e-06, -6.281759124249219894e-05, 1.220703125000000000e-04, 7.894132286310195923e-04, -3.765755274798721075e-03, 1.000000000000000000e+00, -1.027922279856829846e+01
3.055425073951482773e+00, -5.060563239567272831e-07, -2.058690597550594248e-06, -5.152797166374512017e-05, 1.220703125000000000e-04, 7.900614291429519653e-04, -3.767395333852618933e-03, 1.000000000000000000e+00, -1.027922592781180811e+01
3.105425074696540833e+00, -3.935232086860196432e-07, -1.673059841778012924e-06, -4.119186633033677936e-05, 1.220703125000000000e-04, 7.905950769782066345e-04, -3.768692666199058294e-03, 1.000000000000000000e+00, -1.027922592781180811e+01
